iteration,residual_K
1,3.9469090446e1
2,9.2721472609e0
3,5.4052242664e0
4,3.6462571444e0
5,2.9113932883e0
6,2.3810502421e0
7,1.9863583495e0
8,1.7330947083e0
9,1.5402229798e0
10,1.3826135814e0
11,1.2488640619e0
12,1.1342619919e0
13,1.0514294644e0
14,9.7901355417e-1
15,9.1385902785e-1
16,8.5512693541e-1
17,8.0276695083e-1
18,7.5535639839e-1
19,7.1666688289e-1
20,6.8296374982e-1
21,6.5156568946e-1
22,6.2229678629e-1
23,5.9498994885e-1
24,5.6948877825e-1
25,5.4564831186e-1
26,5.2405752119e-1
27,5.0590580388e-1
28,4.8867365642e-1
29,4.7248204466e-1
30,4.5708488028e-1
31,4.4243738844e-1
32,4.2849668280e-1
33,4.1522194566e-1
34,4.0257451305e-1
35,3.9083093864e-1
36,3.8068370479e-1
37,3.7092174573e-1
38,3.6152917980e-1
39,3.5249040255e-1
40,3.4380554946e-1
41,3.3548801178e-1
42,3.2747434016e-1
43,3.1975128520e-1
44,3.1230610821e-1
45,3.0512659068e-1
46,2.9879935377e-1
47,2.9280402230e-1
48,2.8698569865e-1
49,2.8133865530e-1
50,2.7585724868e-1
51,2.7053594096e-1
52,2.6536931681e-1
53,2.6035209585e-1
54,2.5548916758e-1
55,2.5077918622e-1
56,2.4620195041e-1
57,2.4177562373e-1
58,2.3785035309e-1
59,2.3403637533e-1
60,2.3031258719e-1
61,2.2667665231e-1
62,2.2312626048e-1
63,2.1965913371e-1
64,2.1627303110e-1
65,2.1296575279e-1
66,2.0973514307e-1
67,2.0657909276e-1
68,2.0349554096e-1
69,2.0048247640e-1
70,1.9754524623e-1
71,1.9492100297e-1
72,1.9234807597e-1
73,1.8982538314e-1
74,1.8735184959e-1
75,1.8493317895e-1
76,1.8256415459e-1
77,1.8024064288e-1
78,1.7796164046e-1
79,1.7572615879e-1
80,1.7353322513e-1
81,1.7138188333e-1
82,1.6927119450e-1
83,1.6720023748e-1
84,1.6516810922e-1
85,1.6324549779e-1
86,1.6144549267e-1
87,1.5967478371e-1
88,1.5793285407e-1
89,1.5621918996e-1
90,1.5453328148e-1
91,1.5287462321e-1
92,1.5124271481e-1
93,1.4963779369e-1
94,1.4806280557e-1
95,1.4651289754e-1
96,1.4498760142e-1
97,1.4348645574e-1
98,1.4200900588e-1
99,1.4055480432e-1
100,1.3912341071e-1
101,1.3776388253e-1
102,1.3648005230e-1
103,1.3521389762e-1
104,1.3396515479e-1
105,1.3273356139e-1
106,1.3151885656e-1
107,1.3032078129e-1
108,1.2913907860e-1
109,1.2797349377e-1
110,1.2682377450e-1
111,1.2568967108e-1
112,1.2457093650e-1
113,1.2346732659e-1
114,1.2238001189e-1
115,1.2130855642e-1
116,1.2025142121e-1
117,1.1920837703e-1
118,1.1819126567e-1
119,1.1724415116e-1
120,1.1630863662e-1
121,1.1538622486e-1
122,1.1447467958e-1
123,1.1357385989e-1
124,1.1268362563e-1
125,1.1180383751e-1
126,1.1093435718e-1
127,1.1007504733e-1
128,1.0922577174e-1
129,1.0838639536e-1
130,1.0755678434e-1
131,1.0673680611e-1
132,1.0592632941e-1
133,1.0512522434e-1
134,1.0433336239e-1
135,1.0355061644e-1
136,1.0277686085e-1
137,1.0204013259e-1
138,1.0133297536e-1
139,1.0063307848e-1
140,9.9940360972e-2
141,9.9254742164e-2
142,9.8576141719e-2
143,9.7904479689e-2
144,9.7240939513e-2
145,9.6584273473e-2
146,9.5934271897e-2
147,9.5290857668e-2
148,9.4653954213e-2
149,9.4023485530e-2
150,9.3399376211e-2
151,9.2781551463e-2
152,9.2169937131e-2
153,9.1564459711e-2
154,9.0965046366e-2
155,9.0371624942e-2
156,8.9784123981e-2
157,8.9217220277e-2
158,8.8676512710e-2
159,8.8140660569e-2
160,8.7609616549e-2
161,8.7083333489e-2
162,8.6561764397e-2
163,8.6044862468e-2
164,8.5532581107e-2
165,8.5024873941e-2
166,8.4521694844e-2
167,8.4022997943e-2
168,8.3528737639e-2
169,8.3039365172e-2
170,8.2554675604e-2
171,8.2074268350e-2
172,8.1598099411e-2
173,8.1126125109e-2
174,8.0658302091e-2
175,8.0194587342e-2
176,7.9734938186e-2
177,7.9279312298e-2
178,7.8827667707e-2
179,7.8402618286e-2
180,7.7984224830e-2
181,7.7569144215e-2
182,7.7157347886e-2
183,7.6748807364e-2
184,7.6343494267e-2
185,7.5941380313e-2
186,7.5542437331e-2
187,7.5146637269e-2
188,7.4753952203e-2
189,7.4364354343e-2
190,7.3977816041e-2
191,7.3594309797e-2
192,7.3213808264e-2
193,7.2836284254e-2
194,7.2461710745e-2
195,7.2090060881e-2
196,7.1721408642e-2
197,7.1356056596e-2
198,7.0993538149e-2
199,7.0633827349e-2
200,7.0276898431e-2
201,6.9923373070e-2
202,6.9590670330e-2
203,6.9260316192e-2
204,6.8932292659e-2
205,6.8606913471e-2
206,6.8283980204e-2
207,6.7963314642e-2
208,6.7644899145e-2
209,6.7328716134e-2
210,6.7014748094e-2
211,6.6702977579e-2
212,6.6393387212e-2
213,6.6085959694e-2
214,6.5780677804e-2
215,6.5477524402e-2
216,6.5176482435e-2
217,6.4877534935e-2
218,6.4580665026e-2
219,6.4285855923e-2
220,6.3993090937e-2
221,6.3702353474e-2
222,6.3413627041e-2
223,6.3126895243e-2
224,6.2842141789e-2
225,6.2559350490e-2
226,6.2290827012e-2
227,6.2026263130e-2
228,6.1763368688e-2
229,6.1502132205e-2
230,6.1242542227e-2
231,6.0984587329e-2
232,6.0728256117e-2
233,6.0473537231e-2
234,6.0220419347e-2
235,5.9969102194e-2
236,5.9719469919e-2
237,5.9471399634e-2
238,5.9224880258e-2
239,5.8979900753e-2
240,5.8736450127e-2
241,5.8494517438e-2
242,5.8254091790e-2
243,5.8015162340e-2
244,5.7777718296e-2
245,5.7541748919e-2
246,5.7307243523e-2
247,5.7074191481e-2
248,5.6842582219e-2
249,5.6612405219e-2
250,5.6383650026e-2
251,5.6157790242e-2
252,5.5942987222e-2
253,5.5729404038e-2
254,5.5517033165e-2
255,5.5305867092e-2
256,5.5095898326e-2
257,5.4887119388e-2
258,5.4679522820e-2
259,5.4473101183e-2
260,5.4267847058e-2
261,5.4063753048e-2
262,5.3860811782e-2
263,5.3659015911e-2
264,5.3458358111e-2
265,5.3258831084e-2
266,5.3060427561e-2
267,5.2863261814e-2
268,5.2667298155e-2
269,5.2472433221e-2
270,5.2278659899e-2
271,5.2085971105e-2
272,5.1894359789e-2
273,5.1703818931e-2
274,5.1514341543e-2
275,5.1325920670e-2
276,5.1138549390e-2
277,5.0952220817e-2
278,5.0767191937e-2
279,5.0591597128e-2
280,5.0416904271e-2
281,5.0243108333e-2
282,5.0070204290e-2
283,4.9898187126e-2
284,4.9727051836e-2
