i,j,x_m,y_m,temperature_K
0,0,0.003125,0.005000,359.624982
1,0,0.009375,0.005000,358.874946
2,0,0.015625,0.005000,358.124910
3,0,0.021875,0.005000,357.374875
4,0,0.028125,0.005000,356.624840
5,0,0.034375,0.005000,355.874804
6,0,0.040625,0.005000,355.124770
7,0,0.046875,0.005000,354.374735
8,0,0.053125,0.005000,353.624702
9,0,0.059375,0.005000,352.874668
10,0,0.065625,0.005000,352.124635
11,0,0.071875,0.005000,351.374603
12,0,0.078125,0.005000,350.624572
13,0,0.084375,0.005000,349.874541
14,0,0.090625,0.005000,349.124511
15,0,0.096875,0.005000,348.374481
16,0,0.103125,0.005000,347.624453
17,0,0.109375,0.005000,346.874425
18,0,0.115625,0.005000,346.124398
19,0,0.121875,0.005000,345.374373
20,0,0.128125,0.005000,344.624348
21,0,0.134375,0.005000,343.874324
22,0,0.140625,0.005000,343.124301
23,0,0.146875,0.005000,342.374280
24,0,0.153125,0.005000,341.624259
25,0,0.159375,0.005000,340.874240
26,0,0.165625,0.005000,340.124222
27,0,0.171875,0.005000,339.374205
28,0,0.178125,0.005000,338.624190
29,0,0.184375,0.005000,337.874175
30,0,0.190625,0.005000,337.124162
31,0,0.196875,0.005000,336.374150
32,0,0.203125,0.005000,335.624140
33,0,0.209375,0.005000,334.874131
34,0,0.215625,0.005000,334.124123
35,0,0.221875,0.005000,333.374117
36,0,0.228125,0.005000,332.624112
37,0,0.234375,0.005000,331.874108
38,0,0.240625,0.005000,331.124106
39,0,0.246875,0.005000,330.374105
40,0,0.253125,0.005000,329.624105
41,0,0.259375,0.005000,328.874107
42,0,0.265625,0.005000,328.124111
43,0,0.271875,0.005000,327.374115
44,0,0.278125,0.005000,326.624121
45,0,0.284375,0.005000,325.874128
46,0,0.290625,0.005000,325.124137
47,0,0.296875,0.005000,324.374147
48,0,0.303125,0.005000,323.624158
49,0,0.309375,0.005000,322.874171
50,0,0.315625,0.005000,322.124185
51,0,0.321875,0.005000,321.374200
52,0,0.328125,0.005000,320.624216
53,0,0.334375,0.005000,319.874234
54,0,0.340625,0.005000,319.124252
55,0,0.346875,0.005000,318.374272
56,0,0.353125,0.005000,317.624293
57,0,0.359375,0.005000,316.874315
